time,susceptible,infectious,recovered
0,990,10,0
1,987.8241982532815,12.065791810940624,0.11000993577797263
2,985.2059068913829,14.551378974363963,0.24271413425317093
3,982.058383987007,17.53890678594384,0.4027092270492708
4,978.2793043292194,21.12520913227556,0.5954865385051628
5,973.7486614396095,25.423751880597273,0.8275866797934158
6,968.326654767134,30.566571598787704,1.1067736340784495
7,961.8516365400518,36.7061259652916,1.4422374946566436
8,954.1386940437746,44.01650923419483,1.844796722030624
9,944.9788457397301,52.69403169541925,2.3271225648507006
10,934.1395601881015,62.95648160450571,2.9039582073929173
11,921.3671434296893,75.04053437627506,3.5923221940356904
12,906.3917232816547,89.1966026078485,4.411674110496907
13,888.9356402942673,105.68034726028395,5.384012445448933
14,868.7259784891716,124.74015328515857,6.533868225670014
15,845.5117796035738,146.60006928497387,7.888151111452549
16,819.0859705073015,171.43822688973518,9.47580260296352
17,789.3113177343831,199.3614713491627,11.327210916454252
18,756.1485019526468,230.37813933571053,13.473358711642653
19,719.6828068192193,264.37247739723796,15.944715783542673
20,680.1457401747717,301.0843744234579,18.7698854017703
21,637.9262853893478,340.09961397076205,21.974100639890086
22,593.5674362926039,380.85486819787496,25.577695509520858
23,547.7454306644283,422.6598606515845,29.59470868398688
24,501.2319142344968,464.7362853430521,34.03180042245089
25,454.8431473470391,506.2692346796861,38.887617973274594
26,409.38281941419444,546.4644657090685,44.15271487673705
27,365.58698641361394,584.6029777728398,49.81003581354609
28,324.0788407989616,620.0852572073071,55.83590199373116
29,285.3388645614553,652.4597723281131,62.20136311043151
30,249.69237482005673,681.4338793680498,68.8737458118934
31,217.31321619170623,706.8685552516802,75.81822855661353
32,188.24004467175178,728.7606578873418,82.99929744090628
33,162.40024510643215,747.2177711192021,90.38198377436571
34,139.63707099038083,762.4300969987896,97.9328320108294
35,119.73625427252122,774.6431592458719,105.62058648160665
36,102.4495694383819,784.1338092728689,113.41662128874893
37,87.5141121096082,791.1907353204834,121.29515256990803
38,74.6669540141982,796.0997665210542,129.23327946474726
39,63.65547391413524,799.1336253256361,137.21090076022833
40,54.2440075494361,800.545443846884,145.21054860367965
41,46.21757840956954,800.5652487401456,153.21717285028464
42,39.38345456763303,799.3986435594586,161.2179018729083
43,33.571181696339075,797.227019949052,169.2017983546088
44,28.631618665112754,794.2087587985709,177.15962253631628
45,24.435377911971834,790.4810114154699,185.08361067255825
46,20.87096238789757,786.1617646901724,192.96727292192992
47,17.84280116781692,781.351986389825,200.80521244235788
48,15.269314756165837,776.1377194526759,208.59296579115818
49,13.081087481857125,770.592048878081,216.32686364006187
50,11.219202080796304,764.7768879116404,224.00391000756315
51,9.633741452629625,758.7445795651736,231.6216789821966
52,8.28246822371835,752.5393055214123,239.17822625486914
53,7.129673797950275,746.1983125348186,246.67201366723089
54,6.145183934872827,739.7529708090906,254.10184525603634
55,5.303511035899365,733.2296754642132,261.46681349988717
56,4.583120880321164,726.6506259561736,268.7662531635049
57,3.9658141127438276,720.034483225884,275.99970266137205
58,3.4362052721796412,713.3969230309701,283.16687169684997
59,2.9812803748930907,706.7511058077312,290.26761381737555
60,2.5900237429922806,700.1080729779629,297.30190327904455
61,2.2531039952985674,693.477080428676,304.2698155760251
62,1.9626094495673605,686.8658795422054,311.17151100822684
63,1.7118262257447712,680.2809529009965,318.0072208732584
64,1.4950512369232516,673.7277129706818,324.7772357923946
65,1.307435099139289,667.2106690297219,331.4818958711385
66,1.1448499205023357,660.7335676926522,338.12158238684515
67,1.0037781104336132,654.2995111209505,344.69671076861556
68,0.8812188429291135,647.9110564897386,351.20772466733183
69,0.7746092258420707,641.5702998387158,357.65509093544176
70,0.6817578886718264,635.2789467317251,364.0392953796027
71,0.600788958338151,629.0383718793435,370.360839162318
72,0.5300947659822511,622.849669482,376.6202357520175
73,0.4682958932852544,616.7136957698731,382.8180083368412
74,0.4142073793699317,610.6311049909068,388.9546876297229
75,0.366810116659684,604.6023798781581,395.0308100051819
76,0.3252266117089926,598.6278574714676,401.04691591682325
77,0.28870042439290033,592.7077510227,407.0035485529069
78,0.2565787094440834,586.8421685965382,412.90125269401756
79,0.2282973757974237,581.031128881833,418.7405737423695
80,0.20336845815254895,575.2745746447233,424.52205689712395
81,0.18136935911857263,569.5723841869017,430.24624645397967
82,0.16193367492869226,563.9243811144058,435.9136852106653
83,0.1447433631018497,558.330342674134,441.52491396276406
84,0.12952204848374976,552.7900068748512,447.0804710766649
85,0.11602929569129267,547.3030785759007,452.5808921284078
86,0.10405570238989065,541.8692346987516,458.02670959885836
87,0.09341869476454413,536.4881286878931,463.4184526173421
88,0.08395891637960812,531.1593943371375,468.75664674648266
89,0.07553712338412784,525.8826490741969,474.0418138024188
90,0.06803151590330295,520.6574967784475,479.27447170564903
91,0.06133543924205993,515.4835302027923,484.4551343579654
92,0.05535540194479813,510.3603330561947,489.58431154186025
93,0.05000936537872397,505.2874817953479,494.66250883927313
94,0.04522526597066744,500.26454716705973,499.69022756696927
95,0.04093973719786294,495.2910955365535,504.6679647262483
96,0.037097003144119366,490.3666900318635,509.59621296499205
97,0.03364791960310769,485.4908915300509,514.4754605503457
98,0.030549142202650204,480.66325950723297,519.3061913505641
99,0.02776240398555506,475.8833527712588,524.0888848247553
100,0.025253887411967803,471.1507300931534,528.8240160194345
